ISBN	Title	Author	Rating	R Count	Score
9780141937830	A Twinkle of Hooves	A Twinkle of Hooves (v5.0) (epub)	0	0	1.18
9781741792348	Canada	Karla Zimmerman	3.88	40	3.99
9780061983610	Mission: Cook!	Robert Irvine	3.55	42	2.51
9780374530631	Wise Blood	Flannery O'Connor	3.91	12840	1.56
9780374515362	The Complete Stories	Flannery O'Connor	4.46	20718	2.48
9780451207883	Complete Care for Your Aging Cat	Amy Shojai	4.14	35	2.99
9780061566134	Killer	Sara Shepard	4.13	31073	2.15
9780061566103	Wicked	Sara Shepard	4.1	29949	2.21
9780061566165	Heartless	Sara Shepard	4.16	25157	2.11
9780060887391	Unbelievable	Sara Shepard	4.13	35223	2.12
9780062009548	Pretty Little Liars	Sara Shepard	4.01	108605	2.11
9780060887346	Flawless	Sara Shepard	4.03	44764	2.11
9780060887384	Perfect	Sara Shepard	4.08	38844	2.2
9780316180191	Reckless	Cornelia Funke	3.75	165	1.15
9780316076302	Nubs	Brian Dennis; Kirby Larson; Mary Nethery	4.41	904	0.78
9780307531711	I Like Stars	Margaret Wise Brown	3.56	66	0.69
9780375982514	The Berenstain Bears and the Trouble with Friends	Stan Berenstain	4.0	3611	0.64
9780060801267	A tree grows in Brooklyn	Betty Smith	4.22	217126	2.53
9780861719969	In the Buddha's Words: An Anthology of Discourses from the Pali Canon	Bhikkhu Bodhi	4.4	909	3.05
9780316079907	The Midnight Mayor	Kate Griffin	4.16	1719	2.48
9780984213603	The Everborn	Nicholas Grabowsky	4.36	14	2.7
1605980978	Black Ops: The Rise of Special Forces in the CIA, the SAS, and Mossad	Tony Geraghty	3.66	53	2.62
9780345463098	Star Wars: Yoda: Dark Rendezvous	Sean Stewart	3.9	2687	2.27
9780606146869	The Thief Lord	Cornelia Funke	3.92	47670	1.7
9780307278159	The Color of Law: A Novel	Mark Gimenez	3.84	1606	2.11
9780307367389	Barney's Version	Mordecai Richler	4.13	4722	3.21
9781402218323	Miranda's Big Mistake	Jill Mansell	3.67	3990	2.63
9781568955360	King Con	Stephen J. Cannell	3.87	727	2.38
